entity,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,net,is_product_revenue,is_intra_group
Display Technologies,INV-0429,2021-05-19,2021,,30,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Other Revenue,Other Revenue,720.0,0,0
Display Technologies,INV-0429,2021-05-19,2021,,16,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Warehousing,Warehousing,160.0,0,0
Display Technologies,INV-0429,2021-05-19,2021,,30,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Other Revenue,Other Revenue,150.0,0,0
Display Technologies,INV-0429,2021-05-19,2021,,3,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Shipping Out,Shipping Out,45.0,0,0
Display Technologies,INV-0429,2021-05-19,2021,,0,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,,,0.0,1,0
Display Technologies,INV-0429,2021-05-19,2021,,32,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Warehousing,Warehousing,320.0,0,0
Display Technologies,INV-0429,2021-05-19,2021,,0,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,,,0.0,1,0
Display Technologies,INV-0429,2021-05-19,2021,,40,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Warehousing,Warehousing,400.0,0,0
Display Technologies,INV-0429,2021-05-19,2021,,2,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Shipping Out,Shipping Out,30.0,0,0
Display Technologies,INV-0429,2021-05-19,2021,,1,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Shipping Out,Shipping Out,270.0,0,0
Display Technologies,INV-0429,2021-05-19,2021,,0,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,,,0.0,1,0
Display Technologies,INV-0429,2021-05-19,2021,,32,Cinema Acoustic Treatment Systems Ltd,Cinema Acoustic Treatment Systems Ltd,Paid,Warehousing,Warehousing,320.0,0,0
Display Technologies,1609,2021-05-24,2021,DT-FRNT-450,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1950.0,1,0
Display Technologies,1609,2021-05-24,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Image Surfaces,Image Surfaces,429.0,1,0
Display Technologies,INV-0430,2021-05-27,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Other Screens,Other Screens,1585.0,1,1
Display Technologies,1610,2021-06-01,2021,DT-FRNT-270,1,Genesis Home Technologies SL,Genesis Home Technologies SL,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,975.0,1,0
Display Technologies,1610,2021-06-01,2021,,1,Genesis Home Technologies SL,Genesis Home Technologies SL,Paid,Sales - Image Surfaces,Image Surfaces,234.0,1,0
Display Technologies,1611,2021-06-01,2021,DT-FRNT-360,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1365.0,1,0
Display Technologies,1611,2021-06-01,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Image Surfaces,Image Surfaces,292.5,1,0
Display Technologies,,2021-06-02,2021,,1,Genesis Home Technologies SL,Genesis Home Technologies SL,Paid,Accounts Receivable,Accounts Receivable,-241.8,0,0
Display Technologies,1612,2021-06-03,2021,,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Hush Boxes,Hush Boxes,780.0,1,0
Display Technologies,1612,2021-06-03,2021,,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Hush Boxes,Hush Boxes,2145.0,1,0
Display Technologies,1612,2021-06-03,2021,,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Mistral,Mistral,390.0,1,0
Display Technologies,1612,2021-06-03,2021,,2,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Mistral,Mistral,1092.0,1,0
Display Technologies,1612,2021-06-03,2021,,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Sales - Port Hole Glass,Port Hole Glass,1170.0,1,0
Display Technologies,1613,2021-06-07,2021,DT-DYN-4-XL-480,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,9633.0,1,0
Display Technologies,1613,2021-06-07,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Image Surfaces,Image Surfaces,487.5,1,0
Display Technologies,1614,2021-06-08,2021,DT-FRNT-360,1,Genesis Home Technologies SL,Genesis Home Technologies SL,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1365.0,1,0
Display Technologies,1614,2021-06-08,2021,,1,Genesis Home Technologies SL,Genesis Home Technologies SL,Paid,Sales - Image Surfaces,Image Surfaces,292.5,1,0
Display Technologies,INV-0431,2021-06-08,2021,,120,Apex Technologies USA,Apex Technologies USA,Paid,Warehousing,Warehousing,480.0,0,0
Display Technologies,1616,2021-06-09,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Non Motorised Mount Solutions,Non Motorised Mount Solutions,5000.0,1,1
Display Technologies,1617,2021-06-09,2021,,1,Zene Private Theater,Zene Private Theater,Paid,Sales - Image Surfaces,Image Surfaces,741.0,1,0
Display Technologies,1618,2021-06-09,2021,DT-DYN-2TB-330,1,Deco 2000 Co. Ltd.,Deco 2000 Co. Ltd.,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,4524.0,1,0
Display Technologies,1618,2021-06-09,2021,,1,Deco 2000 Co. Ltd.,Deco 2000 Co. Ltd.,Paid,Sales - Image Surfaces,Image Surfaces,351.0,1,0
Display Technologies,1620,2021-06-10,2021,DT-PHG-2,1,Genesis Home Technologies SL,Genesis Home Technologies SL,Paid,Sales - Port Hole Glass,Port Hole Glass,1170.0,1,0
Display Technologies,INV-0432,2021-06-10,2021,,1,Light Walls Ltd,Light Walls Ltd,Paid,Sales - Bespoke Solutions,Bespoke Solutions,390.0,1,0
Display Technologies,INV-0433,2021-06-11,2021,,1,Meridian Audio Ltd,Meridian Audio Ltd,Paid,Freight Costs - Outward,Freight Costs - Outward,225.0,0,0
Display Technologies,INV-0433,2021-06-11,2021,,0,Meridian Audio Ltd,Meridian Audio Ltd,Paid,,,0.0,1,0
Display Technologies,1623,2021-06-11,2021,DT-FRNT-270,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,975.0,1,0
Display Technologies,1623,2021-06-11,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Image Surfaces,Image Surfaces,234.0,1,0
Display Technologies,1624,2021-06-11,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Image Surfaces,Image Surfaces,292.5,1,0
Display Technologies,1625,2021-06-15,2021,DT-DYN-4-XL-600,1,Genesis Home Technologies SL,Genesis Home Technologies SL,Paid,Sales - Motorised On Wall Screens,Motorised On Wall Screens,14878.5,1,0
Display Technologies,1625,2021-06-15,2021,,1,Genesis Home Technologies SL,Genesis Home Technologies SL,Paid,Sales - Image Surfaces,Image Surfaces,741.0,1,0
Display Technologies,1625,2021-06-15,2021,DT-PHG-2,1,Genesis Home Technologies SL,Genesis Home Technologies SL,Paid,Sales - Port Hole Glass,Port Hole Glass,1170.0,1,0
Display Technologies,1626,2021-06-15,2021,DT-FRNT-420,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1735.5,1,0
Display Technologies,1626,2021-06-15,2021,,1,Apex Technologies USA,Apex Technologies USA,Paid,Sales - Image Surfaces,Image Surfaces,370.5,1,0
Display Technologies,1627,2021-06-15,2021,DT-FRNT-420,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Non Motorised On Wall Screens,Non Motorised On Wall Screens,1735.5,1,1
Display Technologies,1627,2021-06-15,2021,,1,Apex Tech Scotland Ltd,Apex Tech Scotland Ltd,Paid,Sales - Image Surfaces,Image Surfaces,370.5,1,1
