source_file,entity,entity_role,invoice_number,invoice_date,year,item_code,quantity,contact_raw,contact_canonical,status,account_raw,product_line,category,category_source,carried_brand,supply,net,is_product_revenue,is_intra_group,description,item_description
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0859,2012-03-14,2012,,1,The Little Cinema Company Ltd,The Little Cinema Company Ltd,Paid,Sales - AGATH,AGATH,Mirror TVs,brand-map,Agath,carried,2340.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0859,2012-03-14,2012,,1,The Little Cinema Company Ltd,The Little Cinema Company Ltd,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0859,2012-03-14,2012,,1,The Little Cinema Company Ltd,The Little Cinema Company Ltd,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0860,2012-03-14,2012,,1,Stone Audio UK Ltd,Stone Audio UK Ltd,Paid,Sales - ADA,ADA,Amplifiers,brand-map,ADA,carried,2500.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0861,2012-03-14,2012,,1,Design Innovation,Design Innovation,Paid,Sales - LEAF,LEAF,Cables & distribution,brand-map,Leaf,carried,3750.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0861,2012-03-14,2012,,4,Design Innovation,Design Innovation,Paid,Sales - LEAF,LEAF,Cables & distribution,brand-map,Leaf,carried,750.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0862,2012-03-14,2012,,1,Nethaus Ltd,Nethaus Ltd,Paid,Sales - CINEMATECH,CINEMATECH,Seating,brand-map,CinemaTech,carried,4425.12,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0863,2012-03-14,2012,,1,Soundset,Soundset,Paid,Sales - OTHERS,OTHERS,Unclassified,unclassified,,unknown,1500.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0863,2012-03-14,2012,,1,Soundset,Soundset,Paid,Sales - OTHERS,OTHERS,Unclassified,unclassified,,unknown,399.52,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0864,2012-03-14,2012,,1,Adept Integrated Systems,Adept Integrated Systems,Paid,Sales - AGATH,AGATH,Mirror TVs,brand-map,Agath,carried,2080.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0864,2012-03-14,2012,,1,Adept Integrated Systems,Adept Integrated Systems,Paid,,,Unclassified,unclassified,,unknown,0.0,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0864,2012-03-14,2012,,1,Adept Integrated Systems,Adept Integrated Systems,Paid,Sales - AGATH,AGATH,Mirror TVs,brand-map,Agath,carried,97.5,1,0,,
gtuk-invoice-lines.csv,GTUK / Apex Tech Scotland Ltd,UK distribution,INV-0865,2012-03-14,2012,,2,Future Systems AV Ltd,Future Systems AV Ltd,Paid,Sales - AGATH,AGATH,Mirror TVs,brand-map,Agath,carried,156.0,1,0,,
